"","Year","Type","Value","GCAM_commodity"
"617",1866,"Harvested",41.261108,"OtherGrain"
"618",1866,"Planted",NA,"OtherGrain"
"619",1867,"Harvested",44.032618,"OtherGrain"
"620",1867,"Planted",NA,"OtherGrain"
"621",1868,"Harvested",46.856726,"OtherGrain"
"622",1868,"Planted",NA,"OtherGrain"
"623",1869,"Harvested",50.267504,"OtherGrain"
"624",1869,"Planted",NA,"OtherGrain"
"625",1870,"Harvested",53.560948,"OtherGrain"
"626",1870,"Planted",NA,"OtherGrain"
"627",1871,"Harvested",56.631862,"OtherGrain"
"628",1871,"Planted",NA,"OtherGrain"
"629",1872,"Harvested",59.771558,"OtherGrain"
"630",1872,"Planted",NA,"OtherGrain"
"631",1873,"Harvested",60.835656,"OtherGrain"
"632",1873,"Planted",NA,"OtherGrain"
"633",1874,"Harvested",64.618666,"OtherGrain"
"634",1874,"Planted",NA,"OtherGrain"
"635",1875,"Harvested",68.64039,"OtherGrain"
"636",1875,"Planted",NA,"OtherGrain"
"637",1876,"Harvested",74.171272,"OtherGrain"
"638",1876,"Planted",NA,"OtherGrain"
"639",1877,"Harvested",75.344612,"OtherGrain"
"640",1877,"Planted",NA,"OtherGrain"
"641",1878,"Harvested",79.232818,"OtherGrain"
"642",1878,"Planted",NA,"OtherGrain"
"643",1879,"Harvested",79.730476,"OtherGrain"
"644",1879,"Planted",NA,"OtherGrain"
"645",1880,"Harvested",81.551176,"OtherGrain"
"646",1880,"Planted",NA,"OtherGrain"
"647",1881,"Harvested",84.423836,"OtherGrain"
"648",1881,"Planted",NA,"OtherGrain"
"649",1882,"Harvested",95.441094,"OtherGrain"
"650",1882,"Planted",NA,"OtherGrain"
"651",1883,"Harvested",102.032028,"OtherGrain"
"652",1883,"Planted",NA,"OtherGrain"
"653",1884,"Harvested",108.303328,"OtherGrain"
"654",1884,"Planted",NA,"OtherGrain"
"655",1885,"Harvested",113.73306,"OtherGrain"
"656",1885,"Planted",NA,"OtherGrain"
"657",1886,"Harvested",118.835066,"OtherGrain"
"658",1886,"Planted",NA,"OtherGrain"
"659",1887,"Harvested",127.50969,"OtherGrain"
"660",1887,"Planted",NA,"OtherGrain"
"661",1888,"Harvested",134.614466,"OtherGrain"
"662",1888,"Planted",NA,"OtherGrain"
"663",1889,"Harvested",138.765662,"OtherGrain"
"664",1889,"Planted",NA,"OtherGrain"
"665",1890,"Harvested",136.111486,"OtherGrain"
"666",1890,"Planted",NA,"OtherGrain"
"667",1891,"Harvested",135.646196,"OtherGrain"
"668",1891,"Planted",NA,"OtherGrain"
"669",1892,"Harvested",138.632144,"OtherGrain"
"670",1892,"Planted",NA,"OtherGrain"
"671",1893,"Harvested",142.083382,"OtherGrain"
"672",1893,"Planted",NA,"OtherGrain"
"673",1894,"Harvested",143.070606,"OtherGrain"
"674",1894,"Planted",NA,"OtherGrain"
"675",1895,"Harvested",151.68454,"OtherGrain"
"676",1895,"Planted",NA,"OtherGrain"
"677",1896,"Harvested",149.612988,"OtherGrain"
"678",1896,"Planted",NA,"OtherGrain"
"679",1897,"Harvested",142.710512,"OtherGrain"
"680",1897,"Planted",NA,"OtherGrain"
"681",1898,"Harvested",144.215624,"OtherGrain"
"682",1898,"Planted",NA,"OtherGrain"
"683",1899,"Harvested",144.78611,"OtherGrain"
"684",1899,"Planted",NA,"OtherGrain"
"685",1900,"Harvested",153.258434,"OtherGrain"
"686",1900,"Planted",NA,"OtherGrain"
"687",1901,"Harvested",154.812098,"OtherGrain"
"688",1901,"Planted",NA,"OtherGrain"
"689",1902,"Harvested",158.910696,"OtherGrain"
"690",1902,"Planted",NA,"OtherGrain"
"691",1903,"Harvested",164.583188,"OtherGrain"
"692",1903,"Planted",NA,"OtherGrain"
"693",1904,"Harvested",168.042518,"OtherGrain"
"694",1904,"Planted",NA,"OtherGrain"
"695",1905,"Harvested",171.473526,"OtherGrain"
"696",1905,"Planted",NA,"OtherGrain"
"697",1906,"Harvested",172.302956,"OtherGrain"
"698",1906,"Planted",NA,"OtherGrain"
"699",1907,"Harvested",175.458836,"OtherGrain"
"700",1907,"Planted",NA,"OtherGrain"
"701",1908,"Harvested",177.413054,"OtherGrain"
"702",1908,"Planted",NA,"OtherGrain"
"703",1909,"Harvested",181.952666,"OtherGrain"
"704",1909,"Planted",NA,"OtherGrain"
"705",1910,"Harvested",188.753992,"OtherGrain"
"706",1910,"Planted",NA,"OtherGrain"
"707",1911,"Harvested",191.027844,"OtherGrain"
"708",1911,"Planted",NA,"OtherGrain"
"709",1912,"Harvested",192.22546,"OtherGrain"
"710",1912,"Planted",NA,"OtherGrain"
"711",1913,"Harvested",194.236322,"OtherGrain"
"712",1913,"Planted",NA,"OtherGrain"
"713",1914,"Harvested",194.24846,"OtherGrain"
"714",1914,"Planted",NA,"OtherGrain"
"715",1915,"Harvested",200.268908,"OtherGrain"
"716",1915,"Planted",NA,"OtherGrain"
"717",1916,"Harvested",203.307454,"OtherGrain"
"718",1916,"Planted",NA,"OtherGrain"
"719",1917,"Harvested",223.019566,"OtherGrain"
"720",1917,"Planted",NA,"OtherGrain"
"721",1918,"Harvested",236.169066,"OtherGrain"
"722",1918,"Planted",NA,"OtherGrain"
"723",1919,"Harvested",215.922882,"OtherGrain"
"724",1919,"Planted",NA,"OtherGrain"
"725",1920,"Harvested",222.586644,"OtherGrain"
"726",1920,"Planted",NA,"OtherGrain"
"727",1921,"Harvested",232.555988,"OtherGrain"
"728",1921,"Planted",NA,"OtherGrain"
"729",1922,"Harvested",217.24997,"OtherGrain"
"730",1922,"Planted",NA,"OtherGrain"
"731",1923,"Harvested",211.775732,"OtherGrain"
"732",1923,"Planted",NA,"OtherGrain"
"733",1924,"Harvested",213.782548,"OtherGrain"
"734",1924,"Planted",NA,"OtherGrain"
"735",1925,"Harvested",227.518718,"OtherGrain"
"736",1925,"Planted",NA,"OtherGrain"
"737",1926,"Harvested",219.285108,"OtherGrain"
"738",1926,"Planted",NA,"OtherGrain"
"739",1927,"Harvested",215.574926,"OtherGrain"
"740",1927,"Planted",NA,"OtherGrain"
"741",1928,"Harvested",227.316418,"OtherGrain"
"742",1928,"Planted",NA,"OtherGrain"
"743",1929,"Harvested",236.197388,"OtherGrain"
"744",1929,"Planted",NA,"OtherGrain"
"745",1930,"Harvested",241.137554,"OtherGrain"
"746",1930,"Planted",NA,"OtherGrain"
"747",1931,"Harvested",238.616896,"OtherGrain"
"748",1931,"Planted",300.751318,"OtherGrain"
"749",1932,"Harvested",253.506176,"OtherGrain"
"750",1932,"Planted",313.86845,"OtherGrain"
"751",1933,"Harvested",214.146688,"OtherGrain"
"752",1933,"Planted",304.62334,"OtherGrain"
"753",1934,"Harvested",163.252054,"OtherGrain"
"754",1934,"Planted",293.561576,"OtherGrain"
"755",1935,"Harvested",247.647568,"OtherGrain"
"756",1935,"Planted",324.719822,"OtherGrain"
"757",1936,"Harvested",192.06362,"OtherGrain"
"758",1936,"Planted",301.718312,"OtherGrain"
"759",1937,"Harvested",219.499546,"OtherGrain"
"760",1937,"Planted",292.966814,"OtherGrain"
"761",1938,"Harvested",224.302148,"OtherGrain"
"762",1938,"Planted",298.497696,"OtherGrain"
"763",1939,"Harvested",221.643926,"OtherGrain"
"764",1939,"Planted",318.76411,"OtherGrain"
"765",1940,"Harvested",236.828564,"OtherGrain"
"766",1940,"Planted",330.663396,"OtherGrain"
"767",1941,"Harvested",250.95315,"OtherGrain"
"768",1941,"Planted",334.365486,"OtherGrain"
"769",1942,"Harvested",262.739148,"OtherGrain"
"770",1942,"Planted",344.545222,"OtherGrain"
"771",1943,"Harvested",256.33433,"OtherGrain"
"772",1943,"Planted",339.774988,"OtherGrain"
"773",1944,"Harvested",257.16376,"OtherGrain"
"774",1944,"Planted",329.206836,"OtherGrain"
"775",1945,"Harvested",244.244882,"OtherGrain"
"776",1945,"Planted",313.94937,"OtherGrain"
"777",1946,"Harvested",248.659068,"OtherGrain"
"778",1946,"Planted",306.055624,"OtherGrain"
"779",1947,"Harvested",227.712926,"OtherGrain"
"780",1947,"Planted",279.149724,"OtherGrain"
"781",1948,"Harvested",245.02576,"OtherGrain"
"782",1948,"Planted",298.75664,"OtherGrain"
"783",1949,"Harvested",225.855812,"OtherGrain"
"784",1949,"Planted",277.640566,"OtherGrain"
"785",1950,"Harvested",253.11776,"OtherGrain"
"786",1950,"Planted",314.669558,"OtherGrain"
"787",1951,"Harvested",222.218458,"OtherGrain"
"788",1951,"Planted",285.036654,"OtherGrain"
"789",1952,"Harvested",210.258482,"OtherGrain"
"790",1952,"Planted",271.106276,"OtherGrain"
"791",1953,"Harvested",218.245286,"OtherGrain"
"792",1953,"Planted",286.784526,"OtherGrain"
"793",1954,"Harvested",272.837964,"OtherGrain"
"794",1954,"Planted",347.810344,"OtherGrain"
"795",1955,"Harvested",277.11054,"OtherGrain"
"796",1955,"Planted",375.634686,"OtherGrain"
"797",1956,"Harvested",230.694828,"OtherGrain"
"798",1956,"Planted",343.371882,"OtherGrain"
"799",1957,"Harvested",284.583502,"OtherGrain"
"800",1957,"Planted",362.274794,"OtherGrain"
"801",1958,"Harvested",260.396514,"OtherGrain"
"802",1958,"Planted",319.286044,"OtherGrain"
"803",1959,"Harvested",240.69654,"OtherGrain"
"804",1959,"Planted",304.870146,"OtherGrain"
"805",1960,"Harvested",233.587718,"OtherGrain"
"806",1960,"Planted",285.87013,"OtherGrain"
"807",1961,"Harvested",199.14412,"OtherGrain"
"808",1961,"Planted",268.605848,"OtherGrain"
"809",1962,"Harvested",194.786578,"OtherGrain"
"810",1962,"Planted",258.21572,"OtherGrain"
"811",1963,"Harvested",192.015068,"OtherGrain"
"812",1963,"Planted",256.508308,"OtherGrain"
"813",1964,"Harvested",175.895804,"OtherGrain"
"814",1964,"Planted",237.127968,"OtherGrain"
"815",1965,"Harvested",170.70074,"OtherGrain"
"816",1965,"Planted",224.49231,"OtherGrain"
"817",1966,"Harvested",170.805936,"OtherGrain"
"818",1966,"Planted",222.040434,"OtherGrain"
"819",1967,"Harvested",167.467986,"OtherGrain"
"820",1967,"Planted",216.060446,"OtherGrain"
"821",1968,"Harvested",171.250996,"OtherGrain"
"822",1968,"Planted",222.716116,"OtherGrain"
"823",1969,"Harvested",170.967776,"OtherGrain"
"824",1969,"Planted",222.699932,"OtherGrain"
"825",1970,"Harvested",175.195846,"OtherGrain"
"826",1970,"Planted",226.733794,"OtherGrain"
"827",1971,"Harvested",176.818292,"OtherGrain"
"828",1971,"Planted",235.804926,"OtherGrain"
"829",1972,"Harvested",150.984582,"OtherGrain"
"830",1972,"Planted",206.5483,"OtherGrain"
"831",1973,"Harvested",164.75312,"OtherGrain"
"832",1973,"Planted",210.489104,"OtherGrain"
"833",1974,"Harvested",142.140026,"OtherGrain"
"834",1974,"Planted",186.690532,"OtherGrain"
"835",1975,"Harvested",152.882156,"OtherGrain"
"836",1975,"Planted",188.859188,"OtherGrain"
"837",1976,"Harvested",143.463068,"OtherGrain"
"838",1976,"Planted",188.818728,"OtherGrain"
"839",1977,"Harvested",152.481602,"OtherGrain"
"840",1977,"Planted",192.998246,"OtherGrain"
"841",1978,"Harvested",140.43666,"OtherGrain"
"842",1978,"Planted",183.923068,"OtherGrain"
"843",1979,"Harvested",125.26416,"OtherGrain"
"844",1979,"Planted",162.616832,"OtherGrain"
"845",1980,"Harvested",117.65768,"OtherGrain"
"846",1980,"Planted",161.144088,"OtherGrain"
"847",1981,"Harvested",132.737122,"OtherGrain"
"848",1981,"Planted",168.904316,"OtherGrain"
"849",1982,"Harvested",137.90791,"OtherGrain"
"850",1982,"Planted",170.178806,"OtherGrain"
"851",1983,"Harvested",120.069096,"OtherGrain"
"852",1983,"Planted",183.231202,"OtherGrain"
"853",1984,"Harvested",144.50289,"OtherGrain"
"854",1984,"Planted",180.342358,"OtherGrain"
"855",1985,"Harvested",150.624488,"OtherGrain"
"856",1985,"Planted",190.979292,"OtherGrain"
"857",1986,"Harvested",134.881502,"OtherGrain"
"858",1986,"Planted",183.558928,"OtherGrain"
"859",1987,"Harvested",113.478162,"OtherGrain"
"860",1987,"Planted",174.05892,"OtherGrain"
"861",1988,"Harvested",92.260938,"OtherGrain"
"862",1988,"Planted",147.49693,"OtherGrain"
"863",1989,"Harvested",108.359972,"OtherGrain"
"864",1989,"Planted",145.113836,"OtherGrain"
"865",1990,"Harvested",92.81524,"OtherGrain"
"866",1990,"Planted",124.632984,"OtherGrain"
"867",1991,"Harvested",95.056724,"OtherGrain"
"868",1991,"Planted",122.711134,"OtherGrain"
"869",1992,"Harvested",98.002212,"OtherGrain"
"870",1992,"Planted",123.095504,"OtherGrain"
"871",1993,"Harvested",80.325238,"OtherGrain"
"872",1993,"Planted",109.638508,"OtherGrain"
"873",1994,"Harvested",80.774344,"OtherGrain"
"874",1994,"Planted",101.943016,"OtherGrain"
"875",1995,"Harvested",72.297974,"OtherGrain"
"876",1995,"Planted",96.88147,"OtherGrain"
"877",1996,"Harvested",87.061828,"OtherGrain"
"878",1996,"Planted",106.353156,"OtherGrain"
"879",1997,"Harvested",74.79031,"OtherGrain"
"880",1997,"Planted",93.972396,"OtherGrain"
"881",1998,"Harvested",67.758362,"OtherGrain"
"882",1998,"Planted",90.662768,"OtherGrain"
"883",1999,"Harvested",66.69831,"OtherGrain"
"884",1999,"Planted",85.455566,"OtherGrain"
"885",2000,"Harvested",64.400182,"OtherGrain"
"886",2000,"Planted",85.928948,"OtherGrain"
"887",2001,"Harvested",63.109508,"OtherGrain"
"888",2001,"Planted",87.304588,"OtherGrain"
"889",2002,"Harvested",56.012824,"OtherGrain"
"890",2002,"Planted",86.855482,"OtherGrain"
"891",2003,"Harvested",63.457464,"OtherGrain"
"892",2003,"Planted",86.758378,"OtherGrain"
"893",2004,"Harvested",53.48812,"OtherGrain"
"894",2004,"Planted",73.588648,"OtherGrain"
"895",2005,"Harvested",47.022612,"OtherGrain"
"896",2005,"Planted",67.054358,"OtherGrain"
"897",2006,"Harvested",41.273246,"OtherGrain"
"898",2006,"Planted",65.205336,"OtherGrain"
"899",2007,"Harvested",50.85822,"OtherGrain"
"900",2007,"Planted",70.388262,"OtherGrain"
"901",2008,"Harvested",53.597362,"OtherGrain"
"902",2008,"Planted",71.889328,"OtherGrain"
"903",2009,"Harvested",42.369712,"OtherGrain"
"904",2009,"Planted",61.183612,"OtherGrain"
"905",2010,"Harvested",37.105866,"OtherGrain"
"906",2010,"Planted",52.598,"OtherGrain"
"907",2011,"Harvested",30.903348,"OtherGrain"
"908",2011,"Planted",48.394206,"OtherGrain"
"909",2012,"Harvested",39.363534,"OtherGrain"
"910",2012,"Planted",57.55435,"OtherGrain"
"911",2013,"Harvested",46.702978,"OtherGrain"
"912",2013,"Planted",67.79073,"OtherGrain"
"913",2014,"Harvested",42.972566,"OtherGrain"
"914",2014,"Planted",60.127606,"OtherGrain"
"915",2015,"Harvested",52.869082,"OtherGrain"
"916",2015,"Planted",69.425314,"OtherGrain"
"917",2016,"Harvested",42.608426,"OtherGrain"
"918",2016,"Planted",60.333952,"OtherGrain"
"919",2017,"Harvested",34.443598,"OtherGrain"
"920",2017,"Planted",53.176578,"OtherGrain"
"921",2018,"Harvested",34.678266,"OtherGrain"
"922",2018,"Planted",54.370148,"OtherGrain"
"923",2019,"Harvested",34.221068,"OtherGrain"
"924",2019,"Planted",53.273682,"OtherGrain"
"925",2019,"Planted",10.27684,"Rice"
"926",2018,"Planted",11.919516,"Rice"
"927",2017,"Planted",9.965298,"Rice"
"928",2016,"Planted",12.7449,"Rice"
"929",2015,"Planted",10.62075,"Rice"
"930",2014,"Planted",11.951884,"Rice"
"931",2013,"Planted",10.07454,"Rice"
"932",2012,"Planted",10.9242,"Rice"
"933",2011,"Planted",10.879694,"Rice"
"934",2010,"Planted",14.711256,"Rice"
"935",2009,"Planted",12.68421,"Rice"
"936",2008,"Planted",12.11777,"Rice"
"937",2007,"Planted",11.171006,"Rice"
"938",2006,"Planted",11.482548,"Rice"
"939",2005,"Planted",13.691664,"Rice"
"940",2004,"Planted",13.541962,"Rice"
"941",2003,"Planted",12.227012,"Rice"
"942",2002,"Planted",13.10904,"Rice"
"943",2001,"Planted",13.489364,"Rice"
"944",2000,"Planted",12.38076,"Rice"
"945",1999,"Planted",14.286426,"Rice"
"946",1998,"Planted",13.29111,"Rice"
"947",1997,"Planted",12.64375,"Rice"
"948",1996,"Planted",11.425904,"Rice"
"949",1995,"Planted",12.627566,"Rice"
"950",1994,"Planted",13.566238,"Rice"
"951",1993,"Planted",11.81432,"Rice"
"952",1992,"Planted",12.850096,"Rice"
"953",1991,"Planted",11.668664,"Rice"
"954",1990,"Planted",11.721262,"Rice"
"955",1989,"Planted",11.049626,"Rice"
"956",1988,"Planted",11.866918,"Rice"
"957",1987,"Planted",9.532376,"Rice"
"958",1986,"Planted",9.633526,"Rice"
"959",1985,"Planted",10.163552,"Rice"
"960",1984,"Planted",11.45018,"Rice"
"961",1983,"Planted",8.86074,"Rice"
"962",1982,"Planted",13.33157,"Rice"
"963",1981,"Planted",15.484042,"Rice"
"964",1980,"Planted",13.67548,"Rice"
"965",1979,"Planted",11.69294,"Rice"
"966",1978,"Planted",12.109678,"Rice"
"967",1977,"Planted",9.148006,"Rice"
"968",1976,"Planted",10.070494,"Rice"
"969",1975,"Planted",11.462318,"Rice"
"970",1974,"Planted",10.3173,"Rice"
"971",1973,"Planted",8.8255398,"Rice"
"972",1972,"Planted",7.379904,"Rice"
"973",1971,"Planted",7.387996,"Rice"
"974",1970,"Planted",7.3871868,"Rice"
"975",1969,"Planted",8.6608676,"Rice"
"976",1968,"Planted",9.5752636,"Rice"
"977",1967,"Planted",8.0199812,"Rice"
"978",1966,"Planted",8.0122938,"Rice"
"979",1965,"Planted",7.2981748,"Rice"
"980",1964,"Planted",7.2698528,"Rice"
"981",1963,"Planted",7.22211,"Rice"
"982",1962,"Planted",7.2370802,"Rice"
"983",1961,"Planted",6.546428,"Rice"
"984",1960,"Planted",6.530244,"Rice"
"985",1959,"Planted",6.5031358,"Rice"
"986",1958,"Planted",5.822194,"Rice"
"987",1957,"Planted",5.5438292,"Rice"
"988",1956,"Planted",6.483715,"Rice"
"989",1955,"Planted",7.4705344,"Rice"
"990",1954,"Planted",10.53983,"Rice"
"991",1953,"Planted",8.9181932,"Rice"
"992",1952,"Planted",8.257886,"Rice"
"993",1951,"Planted",8.2190444,"Rice"
"994",1950,"Planted",6.6888472,"Rice"
"995",1949,"Planted",7.6238778,"Rice"
"996",1948,"Planted",7.387996,"Rice"
"997",1947,"Planted",6.955074,"Rice"
"998",1946,"Planted",6.45337,"Rice"
"999",1945,"Planted",6.117552,"Rice"
"1000",1944,"Planted",6.081138,"Rice"
"1001",1943,"Planted",6.137782,"Rice"
"1002",1942,"Planted",6.02854,"Rice"
"1003",1941,"Planted",5.110098,"Rice"
"1004",1940,"Planted",4.41014,"Rice"
"1005",1939,"Planted",4.22807,"Rice"
"1006",1938,"Planted",4.353496,"Rice"
"1007",1937,"Planted",4.515336,"Rice"
"1008",1936,"Planted",3.969126,"Rice"
"1009",1935,"Planted",3.305582,"Rice"
"1010",1934,"Planted",3.285352,"Rice"
"1011",1933,"Planted",3.228708,"Rice"
"1012",1932,"Planted",3.536204,"Rice"
"1013",1931,"Planted",3.90439,"Rice"
"1014",1930,"Planted",3.908436,"Rice"
"1015",1929,"Planted",3.47956,"Rice"
"1016",1928,"Planted",NA,"Rice"
"1017",1927,"Planted",NA,"Rice"
"1018",1926,"Planted",NA,"Rice"
"1019",1925,"Planted",NA,"Rice"
"1020",1924,"Planted",NA,"Rice"
"1021",1923,"Planted",NA,"Rice"
"1022",1922,"Planted",NA,"Rice"
"1023",1921,"Planted",NA,"Rice"
"1024",1920,"Planted",NA,"Rice"
"1025",1919,"Planted",NA,"Rice"
"1026",1918,"Planted",NA,"Rice"
"1027",1917,"Planted",NA,"Rice"
"1028",1916,"Planted",NA,"Rice"
"1029",1915,"Planted",NA,"Rice"
"1030",1914,"Planted",NA,"Rice"
"1031",1913,"Planted",NA,"Rice"
"1032",1912,"Planted",NA,"Rice"
"1033",1911,"Planted",NA,"Rice"
"1034",1910,"Planted",NA,"Rice"
"1035",1909,"Planted",NA,"Rice"
"1036",1908,"Planted",NA,"Rice"
"1037",1907,"Planted",NA,"Rice"
"1038",1906,"Planted",NA,"Rice"
"1039",1905,"Planted",NA,"Rice"
"1040",1904,"Planted",NA,"Rice"
"1041",1903,"Planted",NA,"Rice"
"1042",1902,"Planted",NA,"Rice"
"1043",1901,"Planted",NA,"Rice"
"1044",1900,"Planted",NA,"Rice"
"1045",1899,"Planted",NA,"Rice"
"1046",1898,"Planted",NA,"Rice"
"1047",1897,"Planted",NA,"Rice"
"1048",1896,"Planted",NA,"Rice"
"1049",1895,"Planted",NA,"Rice"
"1050",2019,"Harvested",10.001712,"Rice"
"1051",2018,"Harvested",11.77386,"Rice"
"1052",2017,"Harvested",9.605204,"Rice"
"1053",2016,"Harvested",12.530462,"Rice"
"1054",2015,"Harvested",10.454864,"Rice"
"1055",2014,"Harvested",11.866918,"Rice"
"1056",2013,"Harvested",9.965298,"Rice"
"1057",2012,"Harvested",10.839234,"Rice"
"1058",2011,"Harvested",10.588382,"Rice"
"1059",2010,"Harvested",14.62629,"Rice"
"1060",2009,"Harvested",12.554738,"Rice"
"1061",2008,"Harvested",12.040896,"Rice"
"1062",2007,"Harvested",11.118408,"Rice"
"1063",2006,"Harvested",11.413766,"Rice"
"1064",2005,"Harvested",13.610744,"Rice"
"1065",2004,"Harvested",13.45295,"Rice"
"1066",2003,"Harvested",12.125862,"Rice"
"1067",2002,"Harvested",12.975522,"Rice"
"1068",2001,"Harvested",13.408444,"Rice"
"1069",2000,"Harvested",12.295794,"Rice"
"1070",1999,"Harvested",14.209552,"Rice"
"1071",1998,"Harvested",13.177822,"Rice"
"1072",1997,"Harvested",12.554738,"Rice"
"1073",1996,"Harvested",11.344984,"Rice"
"1074",1995,"Harvested",12.514278,"Rice"
"1075",1994,"Harvested",13.416536,"Rice"
"1076",1993,"Harvested",11.462318,"Rice"
"1077",1992,"Harvested",12.672072,"Rice"
"1078",1991,"Harvested",11.251926,"Rice"
"1079",1990,"Harvested",11.421858,"Rice"
"1080",1989,"Harvested",10.871602,"Rice"
"1081",1988,"Harvested",11.7334,"Rice"
"1082",1987,"Harvested",9.439318,"Rice"
"1083",1986,"Harvested",9.54856,"Rice"
"1084",1985,"Harvested",10.082632,"Rice"
"1085",1984,"Harvested",11.336892,"Rice"
"1086",1983,"Harvested",8.775774,"Rice"
"1087",1982,"Harvested",13.198052,"Rice"
"1088",1981,"Harvested",15.342432,"Rice"
"1089",1980,"Harvested",13.400352,"Rice"
"1090",1979,"Harvested",11.607974,"Rice"
"1091",1978,"Harvested",12.01662,"Rice"
"1092",1977,"Harvested",9.099454,"Rice"
"1093",1976,"Harvested",10.03408,"Rice"
"1094",1975,"Harvested",11.401628,"Rice"
"1095",1974,"Harvested",10.240426,"Rice"
"1096",1973,"Harvested",8.7806292,"Rice"
"1097",1972,"Harvested",7.3552234,"Rice"
"1098",1971,"Harvested",7.3552234,"Rice"
"1099",1970,"Harvested",7.3422762,"Rice"
"1100",1969,"Harvested",8.6115064,"Rice"
"1101",1968,"Harvested",9.5218564,"Rice"
"1102",1967,"Harvested",7.9710246,"Rice"
"1103",1966,"Harvested",7.9592912,"Rice"
"1104",1965,"Harvested",7.2532642,"Rice"
"1105",1964,"Harvested",7.2245376,"Rice"
"1106",1963,"Harvested",7.1646568,"Rice"
"1107",1962,"Harvested",7.1719396,"Rice"
"1108",1961,"Harvested",6.4286894,"Rice"
"1109",1960,"Harvested",6.4525608,"Rice"
"1110",1959,"Harvested",6.4173606,"Rice"
"1111",1958,"Harvested",5.7238762,"Rice"
"1112",1957,"Harvested",5.4212354,"Rice"
"1113",1956,"Harvested",6.3497924,"Rice"
"1114",1955,"Harvested",7.3896144,"Rice"
"1115",1954,"Harvested",10.3173,"Rice"
"1116",1953,"Harvested",8.7361232,"Rice"
"1117",1952,"Harvested",8.079862,"Rice"
"1118",1951,"Harvested",8.0774344,"Rice"
"1119",1950,"Harvested",6.6241112,"Rice"
"1120",1949,"Harvested",7.5186818,"Rice"
"1121",1948,"Harvested",7.298984,"Rice"
"1122",1947,"Harvested",6.910568,"Rice"
"1123",1946,"Harvested",6.400772,"Rice"
"1124",1945,"Harvested",6.064954,"Rice"
"1125",1944,"Harvested",5.98808,"Rice"
"1126",1943,"Harvested",5.955712,"Rice"
"1127",1942,"Harvested",5.895022,"Rice"
"1128",1941,"Harvested",4.911844,"Rice"
"1129",1940,"Harvested",4.325174,"Rice"
"1130",1939,"Harvested",4.22807,"Rice"
"1131",1938,"Harvested",4.353496,"Rice"
"1132",1937,"Harvested",4.446554,"Rice"
"1133",1936,"Harvested",3.969126,"Rice"
"1134",1935,"Harvested",3.305582,"Rice"
"1135",1934,"Harvested",3.285352,"Rice"
"1136",1933,"Harvested",3.228708,"Rice"
"1137",1932,"Harvested",3.536204,"Rice"
"1138",1931,"Harvested",3.90439,"Rice"
"1139",1930,"Harvested",3.908436,"Rice"
"1140",1929,"Harvested",3.47956,"Rice"
"1141",1928,"Harvested",3.932712,"Rice"
"1142",1927,"Harvested",4.155242,"Rice"
"1143",1926,"Harvested",4.110736,"Rice"
"1144",1925,"Harvested",3.451238,"Rice"
"1145",1924,"Harvested",3.390548,"Rice"
"1146",1923,"Harvested",3.536204,"Rice"
"1147",1922,"Harvested",4.260438,"Rice"
"1148",1921,"Harvested",4.00554,"Rice"
"1149",1920,"Harvested",5.255754,"Rice"
"1150",1919,"Harvested",4.381818,"Rice"
"1151",1918,"Harvested",4.454646,"Rice"
"1152",1917,"Harvested",3.855838,"Rice"
"1153",1916,"Harvested",3.410778,"Rice"
"1154",1915,"Harvested",2.99404,"Rice"
"1155",1914,"Harvested",2.613716,"Rice"
"1156",1913,"Harvested",2.921212,"Rice"
"1157",1912,"Harvested",2.601578,"Rice"
"1158",1911,"Harvested",2.573256,"Rice"
"1159",1910,"Harvested",2.694636,"Rice"
"1160",1909,"Harvested",2.678452,"Rice"
"1161",1908,"Harvested",2.411416,"Rice"
"1162",1907,"Harvested",2.277898,"Rice"
"1163",1906,"Harvested",2.04323,"Rice"
"1164",1905,"Harvested",1.849022,"Rice"
"1165",1904,"Harvested",2.322404,"Rice"
"1166",1903,"Harvested",2.213162,"Rice"
"1167",1902,"Harvested",2.20507,"Rice"
"1168",1901,"Harvested",1.711458,"Rice"
"1169",1900,"Harvested",1.460606,"Rice"
"1170",1899,"Harvested",1.367548,"Rice"
"1171",1898,"Harvested",1.270444,"Rice"
"1172",1897,"Harvested",1.17334,"Rice"
"1173",1896,"Harvested",1.09242,"Rice"
"1174",1895,"Harvested",1.181432,"Rice"
"1175",2019,"Planted",4.580072,"SugarCrop"
"1176",2018,"Planted",4.5036026,"SugarCrop"
"1177",2017,"Planted",4.5776444,"SugarCrop"
"1178",2016,"Planted",4.7071164,"SugarCrop"
"1179",2015,"Planted",4.6925508,"SugarCrop"
"1180",2014,"Planted",4.703475,"SugarCrop"
"1181",2013,"Planted",4.847108,"SugarCrop"
"1182",2012,"Planted",4.9769846,"SugarCrop"
"1183",2011,"Planted",4.9879088,"SugarCrop"
"1184",2010,"Planted",4.7415074,"SugarCrop"
"1185",2009,"Planted",4.7977468,"SugarCrop"
"1186",2008,"Planted",4.4129722,"SugarCrop"
"1187",2007,"Planted",5.1335648,"SugarCrop"
"1188",2006,"Planted",5.5276452,"SugarCrop"
"1189",2005,"Planted",5.2589908,"SugarCrop"
"1190",2004,"Planted",5.4442976,"SugarCrop"
"1191",2003,"Planted",5.5244084,"SugarCrop"
"1192",2002,"Planted",5.7748558,"SugarCrop"
